	x3125.50	x125.45	x625.55	x15625.45	x15625.50	x125.55	x625.50	x3125.45	1.45	x125.50	1.5	x625.45	x5.55	x5.50	1.55	x25.45	x25.55	x5.45	x25.50
x3125.50	0.0	0.166495658086	0.454164790435	0.172524727647	0.14614493879	0.155331492239	0.147303677753	0.11592186481	0.177904589578	0.160316789153	0.177633040065	0.131769416713	0.172243861797	0.174060180491	0.175649484518	0.172481843942	0.167511895046	0.175746921818	0.171763110484
x125.45	0.166495658086	0.0	0.423575654889	0.294534544622	0.257019298963	0.0165277559115	0.0306187795576	0.188125697246	0.0204000470507	0.0102622702867	0.0188622643021	0.0428006735317	0.0100557949837	0.0146118762367	0.0157155560641	0.0114067746079	0.00533874613159	0.0164971853547	0.00876556534597
x625.55	0.454164790435	0.423575654889	0.0	0.477732002681	0.475047322757	0.416954086498	0.419243381359	0.449379283583	0.421705055119	0.419609054519	0.422190964486	0.421496503786	0.424135288033	0.422663407596	0.422802238803	0.423121398116	0.423884975783	0.422618543009	0.42440953091
x15625.45	0.172524727647	0.294534544622	0.477732002681	0.0	0.105405045197	0.2825098955	0.271723878719	0.178415445292	0.301362751814	0.288115783473	0.301322415332	0.257214641495	0.299738911756	0.299999902995	0.300815527841	0.299332308858	0.295817454743	0.300636218917	0.299577259661
x15625.50	0.14614493879	0.257019298963	0.475047322757	0.105405045197	0.0	0.243993744745	0.23391341187	0.159634218875	0.264464848668	0.249883175119	0.264164844837	0.220828579112	0.261678576701	0.261962451607	0.263107934012	0.26134199878	0.257572456428	0.262908386843	0.261518371534
x125.55	0.155331492239	0.0165277559115	0.416954086498	0.2825098955	0.243993744745	0.0	0.0201381045004	0.177352289897	0.0315662259614	0.0118324431221	0.0299695297483	0.0347622196796	0.0212742046415	0.0255447015966	0.0266536071701	0.0222578522702	0.0165308027859	0.0276655934401	0.0208729850163
x625.50	0.147303677753	0.0306187795576	0.419243381359	0.271723878719	0.23391341187	0.0201381045004	0.0	0.168651897395	0.0477456034728	0.0244363417586	0.0462075320366	0.0267128207475	0.0374767327825	0.0418109859024	0.0430319138063	0.0384527691754	0.029947363813	0.0438340114416	0.0359995082664
x3125.45	0.11592186481	0.188125697246	0.449379283583	0.178415445292	0.159634218875	0.177352289897	0.168651897395	0.0	0.199289872143	0.181528307178	0.199047940743	0.151052358228	0.193376067969	0.195329313869	0.196929552634	0.193126213871	0.188568285428	0.19700349247	0.192776166552
1.45	0.177904589578	0.0204000470507	0.421705055119	0.301362751814	0.264464848668	0.0315662259614	0.0477456034728	0.199289872143	0.0	0.0276923872001	0.0019505968938	0.0579606506624	0.0109994386996	0.00630826423586	0.00535300574193	0.00964828946266	0.0216092963862	0.00432614647834	0.012880281009
x125.50	0.160316789153	0.0102622702867	0.419609054519	0.288115783473	0.249883175119	0.0118324431221	0.0244363417586	0.181528307178	0.0276923872001	0.0	0.0261120871532	0.0364992836096	0.017163592111	0.0217048064381	0.022832492143	0.0183164549838	0.0095836536771	0.0237502009254	0.0153165927406
1.5	0.177633040065	0.0188622643021	0.422190964486	0.301322415332	0.264164844837	0.0299695297483	0.0462075320366	0.199047940743	0.0019505968938	0.0261120871532	0.0	0.0570339241037	0.00944483999938	0.0046782491224	0.00373999275362	0.00812053708369	0.0200507935759	0.00278726353928	0.0113460510574
x625.45	0.131769416713	0.0428006735317	0.421496503786	0.257214641495	0.220828579112	0.0347622196796	0.0267128207475	0.151052358228	0.0579606506624	0.0364992836096	0.0570339241037	0.0	0.0503460444835	0.0531643926584	0.0549282128146	0.0508043544693	0.0431402400223	0.0549523005339	0.0492090886047
x5.55	0.172243861797	0.0100557949837	0.424135288033	0.299738911756	0.261678576701	0.0212742046415	0.0374767327825	0.193376067969	0.0109994386996	0.017163592111	0.00944483999938	0.0503460444835	0.0	0.00555962572758	0.0060899292705	0.00307924902087	0.0109405168475	0.00704537748715	0.00252289615108
x5.50	0.174060180491	0.0146118762367	0.422663407596	0.299999902995	0.261962451607	0.0255447015966	0.0418109859024	0.195329313869	0.00630826423586	0.0217048064381	0.0046782491224	0.0531643926584	0.00555962572758	0.0	0.00270754666777	0.00409706730875	0.0156456135207	0.00246632080875	0.00698954143015
1.55	0.175649484518	0.0157155560641	0.422802238803	0.300815527841	0.263107934012	0.0266536071701	0.0430319138063	0.196929552634	0.00535300574193	0.022832492143	0.00373999275362	0.0549282128146	0.0060899292705	0.00270754666777	0.0	0.00505621261701	0.016702039291	0.00213381617086	0.00814933280127
x25.45	0.172481843942	0.0114067746079	0.423121398116	0.299332308858	0.26134199878	0.0222578522702	0.0384527691754	0.193126213871	0.00964828946266	0.0183164549838	0.00812053708369	0.0508043544693	0.00307924902087	0.00409706730875	0.00505621261701	0.0	0.0125856797986	0.00579482759837	0.00445749704435
x25.55	0.167511895046	0.00533874613159	0.423884975783	0.295817454743	0.257572456428	0.0165308027859	0.029947363813	0.188568285428	0.0216092963862	0.0095836536771	0.0200507935759	0.0431402400223	0.0109405168475	0.0156456135207	0.016702039291	0.0125856797986	0.0	0.0176699738187	0.00906904160787
x5.45	0.175746921818	0.0164971853547	0.422618543009	0.300636218917	0.262908386843	0.0276655934401	0.0438340114416	0.19700349247	0.00432614647834	0.0237502009254	0.00278726353928	0.0549523005339	0.00704537748715	0.00246632080875	0.00213381617086	0.00579482759837	0.0176699738187	0.0	0.0089405166124
x25.50	0.171763110484	0.00876556534597	0.42440953091	0.299577259661	0.261518371534	0.0208729850163	0.0359995082664	0.192776166552	0.012880281009	0.0153165927406	0.0113460510574	0.0492090886047	0.00252289615108	0.00698954143015	0.00814933280127	0.00445749704435	0.00906904160787	0.0089405166124	0.0
