	HAPLMIC5	FOOD	TREMBEN1	CYPRCOL5	CHALBRI1	CYPRCOL1	CYPRCOL4	HAPLMIC1	HAPLMIC2	HAPLMIC3	HAPLMIC4	HAPLMIC6	LOBOLAB1	LEPIPRO1	PERIMIC1	NEOLBUS1	REGACAL1	TRIGOTO1	TRIGOTO2	TRIGOTO3	TRIGOTO4	TRIGOTO5	TROPMOO1	TANGIRA1	CYPRCOL3	PLECSTA1	TRIGOTO6	CYPRCOL2	CYPRCOL6	XENOFLA1
HAPLMIC5	0.0	0.867314105147	0.718878399222	0.726331301327	0.653675122005	0.610004947269	0.724928054285	0.583880629633	0.647166394992	0.551907437356	0.507881484054	0.498414248013	0.657295983635	0.586708919839	0.65480054638	0.641541887928	0.678585629755	0.607730887039	0.622166585941	0.613822293302	0.581858963339	0.631094160439	0.67843564129	0.725152544267	0.673650881372	0.651727460166	0.631913513351	0.660939595775	0.681119637195	0.71064367752
FOOD	0.867314105147	0.0	0.814694009553	0.81950349741	0.906640636765	0.860483216051	0.928194189336	0.859400777856	0.818960616143	0.886573985296	0.883647508646	0.839801928235	0.866576848527	0.86508762093	0.868756885146	0.876341874385	0.865712085731	0.883471327168	0.850810675775	0.908993964354	0.882292567263	0.900757813407	0.906997540854	0.900739198736	0.844386588153	0.867186335937	0.87946669897	0.911297923755	0.884037099566	0.873473003028
TREMBEN1	0.718878399222	0.814694009553	0.0	0.731863927723	0.748410546383	0.708675614918	0.779321392107	0.694337320033	0.691235925012	0.743906169172	0.703039814487	0.67165679367	0.69764635794	0.69616077288	0.694994257234	0.720995815478	0.708851547352	0.729512957914	0.665324045698	0.753157944333	0.705752928415	0.751917517454	0.798114310289	0.757791608791	0.715855496626	0.704061081482	0.707907131473	0.743979911511	0.75665514274	0.678935146861
CYPRCOL5	0.726331301327	0.81950349741	0.731863927723	0.0	0.822696916685	0.669654450744	0.844201021489	0.752267728204	0.610640638664	0.803171858181	0.782426919286	0.77287252775	0.807571908298	0.694345304899	0.800896612574	0.774281138714	0.797653793572	0.79308439558	0.723219594256	0.830234201931	0.787978199599	0.829351271106	0.860519170838	0.816922264114	0.763153143508	0.795184785649	0.812023094404	0.831203391833	0.821795750746	0.811602429436
CHALBRI1	0.653675122005	0.906640636765	0.748410546383	0.822696916685	0.0	0.670250533369	0.536558787382	0.643375135529	0.818797390156	0.581446242003	0.635418608371	0.64819476479	0.611530123501	0.709319706814	0.687112147927	0.640687062058	0.706861362503	0.594233865244	0.635641048848	0.556848821542	0.522681705317	0.588445751738	0.648651053078	0.643356264466	0.657091028528	0.61207493191	0.56870426161	0.54477601781	0.623032941493	0.683126260015
CYPRCOL1	0.610004947269	0.860483216051	0.708675614918	0.669654450744	0.670250533369	0.0	0.684851920271	0.624704523477	0.685659165696	0.703328810248	0.640079358039	0.687613418315	0.685255122774	0.584924215576	0.683061234356	0.630088458935	0.673432458416	0.615207854342	0.672525985944	0.665950892169	0.627488442863	0.711255022164	0.759411969118	0.690630810927	0.665230562964	0.685586247968	0.666530371711	0.645356562101	0.638892685129	0.713582704252
CYPRCOL4	0.724928054285	0.928194189336	0.779321392107	0.844201021489	0.536558787382	0.684851920271	0.0	0.667743803378	0.85002239829	0.656075011709	0.693123196558	0.746414643684	0.598900709698	0.75301999738	0.676038688121	0.614888011569	0.661625668271	0.584065437663	0.72883476246	0.582823698353	0.578608222316	0.645246697578	0.694184271002	0.629806659506	0.696395604459	0.621439014409	0.620316146462	0.466036289929	0.538838838733	0.710038272628
HAPLMIC1	0.583880629633	0.859400777856	0.694337320033	0.752267728204	0.643375135529	0.624704523477	0.667743803378	0.0	0.70179778844	0.593030830804	0.540136601878	0.599968916321	0.596904025966	0.606291508657	0.600495058777	0.633882325215	0.630242654904	0.524459327473	0.667976353217	0.571351191616	0.561391933456	0.611923429599	0.687947869144	0.727836754289	0.694136715394	0.559600622543	0.575103426231	0.611938011938	0.671362498023	0.726385998619
HAPLMIC2	0.647166394992	0.818960616143	0.691235925012	0.610640638664	0.818797390156	0.685659165696	0.85002239829	0.70179778844	0.0	0.769285000285	0.711191678339	0.708301703627	0.770528304703	0.655380812795	0.749668363994	0.78528505732	0.77116236753	0.759078887812	0.710921342576	0.814500161482	0.77874263209	0.808387673476	0.813991613828	0.817065411782	0.779688390059	0.783371486957	0.790546999944	0.819325372535	0.816741688594	0.752187475251
HAPLMIC3	0.551907437356	0.886573985296	0.743906169172	0.803171858181	0.581446242003	0.703328810248	0.656075011709	0.593030830804	0.769285000285	0.0	0.563668607386	0.540385989588	0.575005074219	0.710370635186	0.656341198002	0.646116522883	0.686070864282	0.620601355368	0.624753515835	0.608963145623	0.563101315049	0.595264791919	0.610249412306	0.710297793909	0.636744245482	0.598100030681	0.584297828679	0.59696944157	0.64612682049	0.686620693534
