	HAPLMIC5	FOOD	TREMBEN1	CYPRCOL5	CHALBRI1	CYPRCOL1	CYPRCOL4	HAPLMIC1	HAPLMIC2	HAPLMIC3	HAPLMIC4	HAPLMIC6	LOBOLAB1	LEPIPRO1	PERIMIC1	NEOLBUS1	REGACAL1	TRIGOTO1	TRIGOTO2	TRIGOTO3	TRIGOTO4	TRIGOTO5	TROPMOO1	TANGIRA1	CYPRCOL3	PLECSTA1	TRIGOTO6	CYPRCOL2	CYPRCOL6	XENOFLA1
HAPLMIC5	0.0	0.812081081575	0.282114351506	0.168672649536	0.244144576108	0.157794194713	0.18252866052	0.0631942893996	0.167098741697	0.130938832145	0.0499034541455	0.0419459240953	0.133697909438	0.0747212728129	0.245014219646	0.177664736053	0.199108411232	0.160310780097	0.0669242923219	0.0834559183856	0.100297348588	0.373670071186	0.189700536989	0.180665167145	0.244269631648	0.160574095422	0.126304604035	0.142543258202	0.177497063795	0.184586544491
FOOD	0.812081081575	0.0	0.932039935164	0.823421275961	0.746326655975	0.827955244378	0.833803676389	0.809684037149	0.840757606784	0.781154090039	0.822156324345	0.804065183066	0.82762439502	0.793142463626	0.926071847191	0.827587858036	0.845847697567	0.827340061587	0.815436119375	0.806365271548	0.807232126279	0.819783324943	0.831986010297	0.829110109497	0.73297432063	0.762197603648	0.824152546394	0.81760807132	0.827917073989	0.838629858464
TREMBEN1	0.282114351506	0.932039935164	0.0	0.153413270683	0.473548280619	0.138233965365	0.130974883892	0.260464154214	0.145620609921	0.376157353613	0.237743631453	0.295742788711	0.164844773722	0.246886314632	0.0842659622916	0.124032267007	0.159471323796	0.135676974859	0.279058199466	0.219729191457	0.218667666002	0.61629220061	0.426419838673	0.123600926059	0.457485448068	0.356483351019	0.210998265195	0.156648962243	0.124529229596	0.117669175348
CYPRCOL5	0.168672649536	0.823421275961	0.153413270683	0.0	0.347622165039	0.0575115867963	0.0611517422229	0.140173023517	0.0986461682834	0.259733742697	0.128007022679	0.179601013325	0.0624636688146	0.131858610225	0.171073533195	0.0608560480973	0.0834189950202	0.0580463942893	0.155833115561	0.099947972834	0.0929774345172	0.493701259964	0.318553458653	0.0625665179791	0.340210472508	0.239258693744	0.0920280698383	0.0481123617907	0.0603150194448	0.0681291329745
CHALBRI1	0.244144576108	0.746326655975	0.473548280619	0.347622165039	0.0	0.350744209196	0.364910746211	0.275114502604	0.379066751764	0.167285425457	0.286236005688	0.226371775272	0.333711264634	0.238840086607	0.458498361043	0.363402165678	0.37932516473	0.351637745591	0.22682882325	0.27220564525	0.271988264824	0.320669264761	0.19431459126	0.364894924038	0.0718633426085	0.129743861831	0.276833021133	0.324789464981	0.362633245842	0.371239472412
CYPRCOL1	0.157794194713	0.827955244378	0.138233965365	0.0575115867963	0.350744209196	0.0	0.0272285833923	0.128448807826	0.0732717188513	0.244476342027	0.115383756912	0.173766720203	0.0312936989017	0.125420738179	0.120996744975	0.0244468796003	0.0534841375234	0.00984274398383	0.150727810002	0.0908625264975	0.0942208577095	0.489559419614	0.304631660812	0.028047087449	0.345379164708	0.235350653515	0.089148979444	0.0415435150216	0.0221389858481	0.0346391120806
CYPRCOL4	0.18252866052	0.833803676389	0.130974883892	0.0611517422229	0.364910746211	0.0272285833923	0.0	0.150548705596	0.085280494799	0.267129100787	0.139689037218	0.196252020066	0.0544338313372	0.136208579457	0.127082220275	0.0155885778263	0.0475205718335	0.0229763506355	0.173435430114	0.106331590762	0.105830117449	0.507292820379	0.324964035452	0.0149647968125	0.35606089061	0.245889919278	0.101273430214	0.0432100813044	0.0120179138447	0.0253254123858
HAPLMIC1	0.0631942893996	0.809684037149	0.260464154214	0.140173023517	0.275114502604	0.128448807826	0.150548705596	0.0	0.134358121734	0.142142515226	0.042627156859	0.0919395246354	0.103767735541	0.103640519218	0.211683253118	0.14785815949	0.167515772091	0.130283588727	0.071644218133	0.051464824528	0.0671745776286	0.404193016919	0.234306157603	0.149037457381	0.277327428015	0.186725579579	0.10722829259	0.109843250305	0.147892025322	0.1593201512
HAPLMIC2	0.167098741697	0.840757606784	0.145620609921	0.0986461682834	0.379066751764	0.0732717188513	0.085280494799	0.134358121734	0.0	0.262646936689	0.133481735632	0.184170423394	0.0884357051662	0.178170421371	0.143715249228	0.0779338373823	0.100283062812	0.0730527939438	0.179999824282	0.138519889019	0.150611027421	0.517378394001	0.330333701792	0.0786572602113	0.367912151598	0.267847136621	0.146907768201	0.106643458198	0.080331849767	0.0739482836677
HAPLMIC3	0.130938832145	0.781154090039	0.376157353613	0.259733742697	0.167285425457	0.244476342027	0.267129100787	0.142142515226	0.262646936689	0.0	0.15630037854	0.111424272754	0.220967623801	0.141196367991	0.323681060918	0.265447828407	0.284148297821	0.246830308056	0.165695385807	0.177555811242	0.183554374153	0.371060136254	0.117605530418	0.266358479201	0.163217565394	0.0702756482035	0.232217652088	0.226265756962	0.264371663761	0.275354430375
HAPLMIC4	0.0499034541455	0.822156324345	0.237743631453	0.128007022679	0.286236005688	0.115383756912	0.139689037218	0.042627156859	0.133481735632	0.15630037854	0.0	0.0723361549528	0.0909052322997	0.0931630075325	0.197787143892	0.135326622936	0.156432359559	0.117659571336	0.0653149526492	0.0494671310569	0.0641761069372	0.416900833504	0.22135215905	0.138233642882	0.273636532219	0.186704563204	0.0984872697456	0.0999872675016	0.135299404091	0.140231213802
HAPLMIC6	0.0419459240953	0.804065183066	0.295742788711	0.179601013325	0.226371775272	0.173766720203	0.196252020066	0.0919395246354	0.184170423394	0.111424272754	0.0723361549528	0.0	0.152932741029	0.0686703519298	0.266178500215	0.193384425217	0.211435165551	0.175983944838	0.0893041407323	0.101819824561	0.107545654054	0.355915553776	0.16062830778	0.194206591163	0.220639961243	0.131126468321	0.15420999897	0.155200744088	0.193590165523	0.200109198385
LOBOLAB1	0.133697909438	0.82762439502	0.164844773722	0.0624636688146	0.333711264634	0.0312936989017	0.0544338313372	0.103767735541	0.0884357051662	0.220967623801	0.0909052322997	0.152932741029	0.0	0.125449468745	0.132540913497	0.051014706396	0.0745084827362	0.0350634036901	0.125513330544	0.0751208685579	0.0853671875453	0.473460322863	0.28343505144	0.0551844688441	0.330153895797	0.227382337028	0.0799298478055	0.0423027461005	0.0496924487012	0.0607070874464
LEPIPRO1	0.0747212728129	0.793142463626	0.246886314632	0.131858610225	0.238840086607	0.125420738179	0.136208579457	0.103640519218	0.178170421371	0.141196367991	0.0931630075325	0.0686703519298	0.125449468745	0.0	0.237269183664	0.133540565501	0.153654291869	0.125303538416	0.103356698491	0.073945784524	0.0705642188187	0.381225677464	0.20017403319	0.136089793283	0.229875766304	0.120060538445	0.120054641892	0.0983948678788	0.130857191849	0.1432269513
PERIMIC1	0.245014219646	0.926071847191	0.0842659622916	0.171073533195	0.458498361043	0.120996744975	0.127082220275	0.211683253118	0.143715249228	0.323681060918	0.197787143892	0.266178500215	0.132540913497	0.237269183664	0.0	0.120500932077	0.14973484459	0.12054869227	0.242684064501	0.202877484918	0.208508574806	0.595854483726	0.395011811659	0.11661645742	0.450078384924	0.339795352749	0.20478659624	0.153544728804	0.120663950306	0.114172849305
NEOLBUS1	0.177664736053	0.827587858036	0.124032267007	0.0608560480973	0.363402165678	0.0244468796003	0.0155885778263	0.14785815949	0.0779338373823	0.265447828407	0.135326622936	0.193384425217	0.051014706396	0.133540565501	0.120500932077	0.0	0.0457964471225	0.0235544266046	0.170696741756	0.104357742462	0.104182103657	0.505276637504	0.324710684243	0.00784307043972	0.351885599878	0.245763291182	0.0979090469471	0.0440131026711	0.00756548991869	0.0157265590688
REGACAL1	0.199108411232	0.845847697567	0.159471323796	0.0834189950202	0.37932516473	0.0534841375234	0.0475205718335	0.167515772091	0.100283062812	0.284148297821	0.156432359559	0.211435165551	0.0745084827362	0.153654291869	0.14973484459	0.0457964471225	0.0	0.0514855855993	0.187998043486	0.123240959186	0.122817522596	0.521857682859	0.341212914896	0.0469618988597	0.371640052991	0.260144551361	0.124531630373	0.0734539181665	0.0475252432259	0.0566678075878
TRIGOTO1	0.160310780097	0.827340061587	0.135676974859	0.0580463942893	0.351637745591	0.00984274398383	0.0229763506355	0.130283588727	0.0730527939438	0.246830308056	0.117659571336	0.175983944838	0.0350634036901	0.125303538416	0.12054869227	0.0235544266046	0.0514855855993	0.0	0.153948861758	0.0887032408875	0.0924727035582	0.489141469985	0.309204491544	0.0224363300408	0.345339222437	0.232838930205	0.0902333320621	0.0363647500959	0.0180780515824	0.0351645411145
TRIGOTO2	0.0669242923219	0.815436119375	0.279058199466	0.155833115561	0.22682882325	0.150727810002	0.173435430114	0.071644218133	0.179999824282	0.165695385807	0.0653149526492	0.0893041407323	0.125513330544	0.103356698491	0.242684064501	0.170696741756	0.187998043486	0.153948861758	0.0	0.0752112109077	0.0823762016747	0.359745504577	0.234504194508	0.17219797489	0.274457127046	0.185248366841	0.0791384553707	0.132703444699	0.170836274218	0.180764658684
TRIGOTO3	0.0834559183856	0.806365271548	0.219729191457	0.099947972834	0.27220564525	0.0908625264975	0.106331590762	0.051464824528	0.138519889019	0.177555811242	0.0494671310569	0.101819824561	0.0751208685579	0.073945784524	0.202877484918	0.104357742462	0.123240959186	0.0887032408875	0.0752112109077	0.0	0.0276407115614	0.406883203661	0.238682699847	0.107170976423	0.273417507053	0.171526188984	0.0677313484047	0.0675346411137	0.103608069413	0.117210713388
