	TRIGOTO3.2	HAPMIC4.2	NEOLBUS.2	CHALBRI.2	CYPRCOL1.2	CYPRCOL2.2	HAPMIC1.2	HAPMIC2.2	HAPMIC3.2	HAPMIC5.2	HAPMIC6.2	LOBOLAB.2	KITCNT2	TANGIRA.2	TRIGOTO1.2	TRIGOTO2.2	TREMBEN.2
TRIGOTO3.2	0.0	0.646060844556	0.687850709201	0.607428715755	0.630793904102	0.683402926716	0.635984100699	0.653454779046	0.647923518368	0.626785478712	0.595390155239	0.655029334762	0.746616219272	0.653159542065	0.65054134265	0.566147086481	0.68614715655
HAPMIC4.2	0.646060844556	0.0	0.785499254113	0.712276871514	0.635939971489	0.666647212885	0.566639747572	0.648239095876	0.579584182906	0.636260447442	0.56751881948	0.677223718103	0.663591898751	0.711414163638	0.644724249614	0.669105726345	0.685867512323
NEOLBUS.2	0.687850709201	0.785499254113	0.0	0.705591910125	0.72004414642	0.856409275995	0.706266698859	0.793156338668	0.754230800769	0.769067320961	0.775545552282	0.826573714387	0.875610868402	0.80046595931	0.785553303756	0.661343837749	0.828120839728
CHALBRI.2	0.607428715755	0.712276871514	0.705591910125	0.0	0.572512703028	0.679372227973	0.635640574338	0.607864603927	0.614198574996	0.594481034817	0.642885952953	0.626311172417	0.798040702415	0.622597703775	0.607946002484	0.62980142355	0.661230342192
CYPRCOL1.2	0.630793904102	0.635939971489	0.72004414642	0.572512703028	0.0	0.649998084198	0.62778289549	0.622733871997	0.615672001403	0.592934156528	0.646217960663	0.580662791612	0.735090063404	0.682856902204	0.615785116943	0.627570443026	0.604941499904
CYPRCOL2.2	0.683402926716	0.666647212885	0.856409275995	0.679372227973	0.649998084198	0.0	0.725861766816	0.566939994073	0.651771050164	0.644095671465	0.670861805409	0.440857382473	0.658762256685	0.608313882987	0.595757844329	0.717116418535	0.475275589653
HAPMIC1.2	0.635984100699	0.566639747572	0.706266698859	0.635640574338	0.62778289549	0.725861766816	0.0	0.638545278984	0.541134442996	0.620148464505	0.559856147707	0.664130928913	0.749583450028	0.663174264046	0.617403549972	0.630241110507	0.700049692365
HAPMIC2.2	0.653454779046	0.648239095876	0.793156338668	0.607864603927	0.622733871997	0.566939994073	0.638545278984	0.0	0.56900562615	0.546412025207	0.629062283099	0.562068806245	0.693280068881	0.605048893794	0.627543454061	0.666163424816	0.578755962234
HAPMIC3.2	0.647923518368	0.579584182906	0.754230800769	0.614198574996	0.615672001403	0.651771050164	0.541134442996	0.56900562615	0.0	0.538252676861	0.587761092398	0.622804170249	0.669530556378	0.642658406858	0.560561159885	0.619323866968	0.637371577607
HAPMIC5.2	0.626785478712	0.636260447442	0.769067320961	0.594481034817	0.592934156528	0.644095671465	0.620148464505	0.546412025207	0.538252676861	0.0	0.619889879364	0.596154980012	0.732818548519	0.643673563907	0.647027613274	0.600839995068	0.64940660011
HAPMIC6.2	0.595390155239	0.56751881948	0.775545552282	0.642885952953	0.646217960663	0.670861805409	0.559856147707	0.629062283099	0.587761092398	0.619889879364	0.0	0.665371593299	0.715184597343	0.649932494353	0.604548440586	0.607504002776	0.664640491222
LOBOLAB.2	0.655029334762	0.677223718103	0.826573714387	0.626311172417	0.580662791612	0.440857382473	0.664130928913	0.562068806245	0.622804170249	0.596154980012	0.665371593299	0.0	0.652351205178	0.579858440618	0.53303309258	0.671938739434	0.470379675177
KITCNT2	0.746616219272	0.663591898751	0.875610868402	0.798040702415	0.735090063404	0.658762256685	0.749583450028	0.693280068881	0.669530556378	0.732818548519	0.715184597343	0.652351205178	0.0	0.754700681484	0.664000236387	0.753943010578	0.676061441472
TANGIRA.2	0.653159542065	0.711414163638	0.80046595931	0.622597703775	0.682856902204	0.608313882987	0.663174264046	0.605048893794	0.642658406858	0.643673563907	0.649932494353	0.579858440618	0.754700681484	0.0	0.621081722965	0.700881440285	0.6264924958
TRIGOTO1.2	0.65054134265	0.644724249614	0.785553303756	0.607946002484	0.615785116943	0.595757844329	0.617403549972	0.627543454061	0.560561159885	0.647027613274	0.604548440586	0.53303309258	0.664000236387	0.621081722965	0.0	0.648220954505	0.589431346908
TRIGOTO2.2	0.566147086481	0.669105726345	0.661343837749	0.62980142355	0.627570443026	0.717116418535	0.630241110507	0.666163424816	0.619323866968	0.600839995068	0.607504002776	0.671938739434	0.753943010578	0.700881440285	0.648220954505	0.0	0.700282280643
TREMBEN.2	0.68614715655	0.685867512323	0.828120839728	0.661230342192	0.604941499904	0.475275589653	0.700049692365	0.578755962234	0.637371577607	0.64940660011	0.664640491222	0.470379675177	0.676061441472	0.6264924958	0.589431346908	0.700282280643	0.0
