	TRIGOTO3.2	HAPMIC4.2	NEOLBUS.2	CHALBRI.2	CYPRCOL1.2	CYPRCOL2.2	HAPMIC1.2	HAPMIC2.2	HAPMIC3.2	HAPMIC5.2	HAPMIC6.2	LOBOLAB.2	TANGIRA.2	TRIGOTO1.2	TRIGOTO2.2	TREMBEN.2
TRIGOTO3.2	0.0	0.114524041439	0.238962495819	0.122156547021	0.107930183066	0.0963924099282	0.122195946017	0.105950626385	0.125531144761	0.127458545261	0.142364281465	0.0531196269555	0.106923165137	0.0875104446649	0.0446327165661	0.0766905911518
HAPMIC4.2	0.114524041439	0.0	0.232916981132	0.155784060158	0.142231362953	0.172845435184	0.17099771524	0.161479053463	0.178392062978	0.17687972957	0.215217414814	0.125544737633	0.174796266043	0.126580003346	0.112714964557	0.15387876088
NEOLBUS.2	0.238962495819	0.232916981132	0.0	0.210726879548	0.220979887283	0.298633485769	0.282024344852	0.281774036981	0.311802485051	0.301001267929	0.366426521505	0.255765326832	0.280407474552	0.209339463373	0.240515699317	0.279759974652
CHALBRI.2	0.122156547021	0.155784060158	0.210726879548	0.0	0.0571635077441	0.167604317263	0.210852853793	0.149779347776	0.189367665888	0.175112495387	0.246145392535	0.118193879838	0.171052353039	0.046069817569	0.133584993487	0.149853564411
CYPRCOL1.2	0.107930183066	0.142231362953	0.220979887283	0.0571635077441	0.0	0.132488683426	0.181936216257	0.105942489345	0.147074768433	0.138288606747	0.219540617849	0.0891398897148	0.135212035916	0.0372958768947	0.115297607369	0.113637927536
CYPRCOL2.2	0.0963924099282	0.172845435184	0.298633485769	0.167604317263	0.132488683426	0.0	0.166989600234	0.0724469231063	0.0683614038333	0.0824978295252	0.106922678039	0.0511714372283	0.054443873593	0.128245099942	0.129269215527	0.0253207405052
HAPMIC1.2	0.122195946017	0.17099771524	0.282024344852	0.210852853793	0.181936216257	0.166989600234	0.0	0.149471091938	0.124107568113	0.135204092289	0.162199418678	0.154923521005	0.143799305244	0.190577277266	0.102971076467	0.168712615457
HAPMIC2.2	0.105950626385	0.161479053463	0.281774036981	0.149779347776	0.105942489345	0.0724469231063	0.149471091938	0.0	0.0687364312731	0.0414967229634	0.160476533187	0.0626969088682	0.0634747644664	0.131072138357	0.11022172362	0.0541814600527
HAPMIC3.2	0.125531144761	0.178392062978	0.311802485051	0.189367665888	0.147074768433	0.0683614038333	0.124107568113	0.0687364312731	0.0	0.0496493740791	0.129765236835	0.0893964934056	0.0557000713222	0.162935255197	0.127772640809	0.0808855891306
HAPMIC5.2	0.127458545261	0.17687972957	0.301001267929	0.175112495387	0.138288606747	0.0824978295252	0.135204092289	0.0414967229634	0.0496493740791	0.0	0.162754348918	0.0918943926985	0.065641885893	0.1553090172	0.127710079998	0.087555004264
HAPMIC6.2	0.142364281465	0.215217414814	0.366426521505	0.246145392535	0.219540617849	0.106922678039	0.162199418678	0.160476533187	0.129765236835	0.162754348918	0.0	0.143025653022	0.129119255657	0.212128260433	0.160123831164	0.125208967963
LOBOLAB.2	0.0531196269555	0.125544737633	0.255765326832	0.118193879838	0.0891398897148	0.0511714372283	0.154923521005	0.0626969088682	0.0893964934056	0.0918943926985	0.143025653022	0.0	0.0697859557944	0.0826774652699	0.0789930549168	0.0352049820857
TANGIRA.2	0.106923165137	0.174796266043	0.280407474552	0.171052353039	0.135212035916	0.054443873593	0.143799305244	0.0634747644664	0.0557000713222	0.065641885893	0.129119255657	0.0697859557944	0.0	0.141589469891	0.112693795031	0.0621089133602
TRIGOTO1.2	0.0875104446649	0.126580003346	0.209339463373	0.046069817569	0.0372958768947	0.128245099942	0.190577277266	0.131072138357	0.162935255197	0.1553090172	0.212128260433	0.0826774652699	0.141589469891	0.0	0.109644580834	0.110609436922
TRIGOTO2.2	0.0446327165661	0.112714964557	0.240515699317	0.133584993487	0.115297607369	0.129269215527	0.102971076467	0.11022172362	0.127772640809	0.127710079998	0.160123831164	0.0789930549168	0.112693795031	0.109644580834	0.0	0.111854308457
TREMBEN.2	0.0766905911518	0.15387876088	0.279759974652	0.149853564411	0.113637927536	0.0253207405052	0.168712615457	0.0541814600527	0.0808855891306	0.087555004264	0.125208967963	0.0352049820857	0.0621089133602	0.110609436922	0.111854308457	0.0
