	x3125.50	x125.45	x625.55	x15625.45	x15625.50	x125.55	x625.50	x3125.45	x125.50	x625.45	x5.55	x5.50	x25.45	x25.55	x5.45	x25.50
x3125.50	0.0	0.16647833988	0.455064439953	0.168953916532	0.143590651386	0.155622652197	0.148498403228	0.114849803642	0.159645250421	0.131112756951	0.172831449601	0.175410086533	0.173929626254	0.168282365661	0.17740207658	0.172247550055
x125.45	0.16647833988	0.0	0.423637789939	0.291152782236	0.253953141375	0.0175054234784	0.0296575509876	0.186846934847	0.0135524859408	0.0442982002975	0.00879968536669	0.0132220474167	0.0111696891804	0.00785918614851	0.0157080424088	0.00836491972083
x625.55	0.455064439953	0.423637789939	0.0	0.477906747245	0.47530633805	0.418091525042	0.420204371401	0.450958370307	0.4207177031	0.422616334236	0.425343678731	0.423292537505	0.423700183441	0.424321004157	0.422926180161	0.424316661836
x15625.45	0.168953916532	0.291152782236	0.477906747245	0.0	0.106617096703	0.2792646941	0.270273476105	0.178331095007	0.284144176742	0.2534456498	0.297266708852	0.297690783073	0.297254726916	0.292997092761	0.298130921848	0.296600642561
x15625.50	0.143590651386	0.253953141375	0.47530633805	0.106617096703	0.0	0.241117606891	0.2329481132	0.16009419876	0.246310737832	0.217328089318	0.259540065978	0.260070023944	0.259570580069	0.255164948705	0.260906109607	0.25888733763
x125.55	0.155622652197	0.0175054234784	0.418091525042	0.2792646941	0.241117606891	0.0	0.0181502654081	0.176385955713	0.012499099486	0.0351900902459	0.0223447893458	0.0274020308924	0.0242697495469	0.0176812580432	0.0300035931591	0.0218928259209
x625.50	0.148498403228	0.0296575509876	0.420204371401	0.270273476105	0.2329481132	0.0181502654081	0.0	0.168660793699	0.0224875327053	0.0287374192256	0.0347052973486	0.0401801745486	0.036970552937	0.0288574515744	0.0427727876249	0.0347149526676
x3125.45	0.114849803642	0.186846934847	0.450958370307	0.178331095007	0.16009419876	0.176385955713	0.168660793699	0.0	0.179703531409	0.149753918678	0.193013153573	0.194411000235	0.193111498532	0.188280692573	0.196438990598	0.192097271365
x125.50	0.159645250421	0.0135524859408	0.4207177031	0.284144176742	0.246310737832	0.012499099486	0.0224875327053	0.179703531409	0.0	0.0358995596113	0.0185688661291	0.0239892855483	0.0207394221869	0.0113876566756	0.0266465973968	0.0180491031916
x625.45	0.131112756951	0.0442982002975	0.422616334236	0.2534456498	0.217328089318	0.0351900902459	0.0287374192256	0.149753918678	0.0358995596113	0.0	0.0508350017162	0.0544332909516	0.0522021490408	0.0451225082949	0.056506738492	0.0502819995424
x5.55	0.172831449601	0.00879968536669	0.425343678731	0.297266708852	0.259540065978	0.0223447893458	0.0347052973486	0.193013153573	0.0185688661291	0.0508350017162	0.0	0.00722868064078	0.005194058579	0.00954175851417	0.00957556729339	0.00222050150643
x5.50	0.175410086533	0.0132220474167	0.423292537505	0.297690783073	0.260070023944	0.0274020308924	0.0401801745486	0.194411000235	0.0239892855483	0.0544332909516	0.00722868064078	0.0	0.0038131418249	0.0161018831339	0.00300569430615	0.00678523547661
x25.45	0.173929626254	0.0111696891804	0.423700183441	0.297254726916	0.259570580069	0.0242697495469	0.036970552937	0.193111498532	0.0207394221869	0.0522021490408	0.005194058579	0.0038131418249	0.0	0.0130312665421	0.00618391594523	0.00409314823996
x25.55	0.168282365661	0.00785918614851	0.424321004157	0.292997092761	0.255164948705	0.0176812580432	0.0288574515744	0.188280692573	0.0113876566756	0.0451225082949	0.00954175851417	0.0161018831339	0.0130312665421	0.0	0.0187304015865	0.00991321078525
x5.45	0.17740207658	0.0157080424088	0.422926180161	0.298130921848	0.260906109607	0.0300035931591	0.0427727876249	0.196438990598	0.0266465973968	0.056506738492	0.00957556729339	0.00300569430615	0.00618391594523	0.0187304015865	0.0	0.0092648869227
x25.50	0.172247550055	0.00836491972083	0.424316661836	0.296600642561	0.25888733763	0.0218928259209	0.0347149526676	0.192097271365	0.0180491031916	0.0502819995424	0.00222050150643	0.00678523547661	0.00409314823996	0.00991321078525	0.0092648869227	0.0
