	HAPLMIC5	FOOD	TREMBEN1	CYPRCOL5	CHALBRI1	CYPRCOL1	CYPRCOL4	HAPLMIC1	HAPLMIC2	HAPLMIC3	HAPLMIC4	HAPLMIC6	LOBOLAB1	LEPIPRO1	PERIMIC1	NEOLBUS1	REGACAL1	TRIGOTO1	TRIGOTO2	TRIGOTO3	TRIGOTO4	TRIGOTO5	TROPMOO1	TANGIRA1	CYPRCOL3	PLECSTA1	TRIGOTO6	CYPRCOL2	CYPRCOL6	XENOFLA1
HAPLMIC5	0.0	0.809776511761	0.281196857481	0.170600972785	0.24560671907	0.159336803707	0.183934054474	0.0654365940132	0.169263225659	0.128887356699	0.0496966404565	0.0449722256426	0.135239668586	0.0731188229778	0.245824838107	0.178921074163	0.200902985012	0.161499314363	0.068708801537	0.0837680923687	0.0992392391595	0.376431355757	0.191504566187	0.181314656832	0.245764404104	0.159260635393	0.126982477864	0.143986691159	0.178715525724	0.186325699082
FOOD	0.809776511761	0.0	0.927513979036	0.822284133669	0.744114982007	0.825789732024	0.83210402773	0.808463919146	0.839381870805	0.778757869439	0.820325289319	0.801140834668	0.8262279787	0.792070222467	0.924481397711	0.825641113108	0.84404505006	0.825553997349	0.81328826926	0.803522086072	0.804793325915	0.8170558955	0.828637445889	0.82734973913	0.729586188823	0.759796803273	0.822135371854	0.815871865441	0.826361089906	0.837566137458
TREMBEN1	0.281196857481	0.927513979036	0.0	0.148627658898	0.474222004102	0.136282985775	0.128661415628	0.2577189141	0.142341003776	0.372460851226	0.237550285047	0.298670742971	0.163024075741	0.24270069582	0.0813041470577	0.121557584452	0.157464639411	0.133687704311	0.277867968214	0.218164251935	0.21789928645	0.61683109355	0.425289633881	0.120573743517	0.460662519355	0.354022836844	0.209057537134	0.153421563651	0.122481803135	0.114343143394
CYPRCOL5	0.170600972785	0.822284133669	0.148627658898	0.0	0.352849335107	0.0545728692619	0.0592782418652	0.141207600436	0.0977040843214	0.260254570732	0.130559106366	0.185205719992	0.061358227548	0.130893791347	0.168379656741	0.0587809479298	0.0819774433357	0.0564639377014	0.158912051025	0.102293234597	0.0966732980656	0.498415359167	0.319936384917	0.0610472362822	0.347201345361	0.24093611484	0.0943461411343	0.0480114828387	0.0579133513015	0.0658974109427
CHALBRI1	0.24560671907	0.744114982007	0.474222004102	0.352849335107	0.0	0.353473030296	0.368651658221	0.279741454242	0.382620929025	0.171361340612	0.288399876295	0.224492117752	0.337039046074	0.24398708301	0.461762082767	0.366591550438	0.382970174177	0.355458291948	0.227671476192	0.274433917743	0.272849498675	0.320647716907	0.195109218134	0.368925511576	0.0744829311429	0.132089761965	0.276760705137	0.329360158052	0.365903946955	0.375374208338
CYPRCOL1	0.159336803707	0.825789732024	0.136282985775	0.0545728692619	0.353473030296	0.0	0.0271034153879	0.127819961268	0.0741757267076	0.242902908737	0.117588208798	0.177640663776	0.0311471355021	0.123252900582	0.121822696693	0.0241283646393	0.0537084085275	0.0100483025661	0.152120691723	0.0909746722093	0.0950336119904	0.49112877856	0.305612947637	0.0278820624178	0.349531689486	0.234648336138	0.0885947015384	0.0399759069281	0.0223876347203	0.0352889623914
CYPRCOL4	0.183934054474	0.83210402773	0.128661415628	0.0592782418652	0.368651658221	0.0271034153879	0.0	0.15058652799	0.0854248483383	0.265950252594	0.14220117328	0.200466910256	0.0544728100941	0.134411728402	0.126870963272	0.0157143517601	0.0476998243281	0.0230265775641	0.175356925525	0.107448740038	0.107994844789	0.509983742321	0.325894882328	0.0154858970677	0.361036999535	0.246491861792	0.102100614448	0.0426705789694	0.0127213661953	0.0262728786642
HAPLMIC1	0.0654365940132	0.808463919146	0.2577189141	0.141207600436	0.279741454242	0.127819961268	0.15058652799	0.0	0.134152180654	0.143086532856	0.0437447819016	0.0962551774273	0.103604068535	0.102157009841	0.21075981867	0.147602310616	0.167628155779	0.129944760395	0.0740384591915	0.0505349071239	0.0655899146669	0.408098774218	0.237860738516	0.149150794813	0.282691653529	0.187890681171	0.106403358886	0.110487459327	0.14768290421	0.15946123753
HAPLMIC2	0.169263225659	0.839381870805	0.142341003776	0.0977040843214	0.382620929025	0.0741757267076	0.0854248483383	0.134152180654	0.0	0.261335437245	0.135800551774	0.189623877434	0.0890428439037	0.176783104794	0.144283832043	0.0782733525395	0.100853388887	0.072706991099	0.18174347778	0.140730120514	0.152425122993	0.520467577477	0.331695195835	0.0788604568056	0.373376055833	0.268641862654	0.147920667632	0.106303488012	0.0806572327524	0.0741547912706
HAPLMIC3	0.128887356699	0.778757869439	0.372460851226	0.260254570732	0.171361340612	0.242902908737	0.265950252594	0.143086532856	0.261335437245	0.0	0.155097759799	0.106142988155	0.220884838488	0.141554883144	0.32261031082	0.263843121527	0.283128780367	0.245477134223	0.167201829852	0.176281505282	0.180704708821	0.37472667115	0.120261834026	0.26564956551	0.168726470386	0.0711138528961	0.231769458328	0.225946137418	0.262928833378	0.274441757907
HAPLMIC4	0.0496966404565	0.820325289319	0.237550285047	0.130559106366	0.288399876295	0.117588208798	0.14220117328	0.0437447819016	0.135800551774	0.155097759799	0.0	0.0759493006026	0.0933349469814	0.0904389867165	0.199628712751	0.137956072546	0.159364331236	0.120216414564	0.0686539515276	0.0504342335096	0.063953339538	0.420288823808	0.221458205773	0.14022845962	0.277138311532	0.185922601538	0.10029955047	0.102853458662	0.137902446744	0.142944424587
HAPLMIC6	0.0449722256426	0.801140834668	0.298670742971	0.185205719992	0.224492117752	0.177640663776	0.200466910256	0.0962551774273	0.189623877434	0.106142988155	0.0759493006026	0.0	0.1579249381	0.0742909131571	0.270654322583	0.197442740522	0.216098196838	0.179753324074	0.0957714333698	0.104193236881	0.109308998826	0.355955676842	0.157230732236	0.198668944283	0.219735665666	0.126511455201	0.157364950918	0.160406575766	0.19759881856	0.205377516653
LOBOLAB1	0.135239668586	0.8262279787	0.163024075741	0.061358227548	0.337039046074	0.0311471355021	0.0544728100941	0.103604068535	0.0890428439037	0.220884838488	0.0933349469814	0.1579249381	0.0	0.123890736534	0.131910792495	0.0504728659409	0.0746282262309	0.0350940416802	0.126874052034	0.0773221273025	0.0878314000229	0.476356236415	0.285305630601	0.0551067083787	0.33467347584	0.228408909234	0.0805293069636	0.0423542167101	0.0494488009611	0.0610038921242
LEPIPRO1	0.0731188229778	0.792070222467	0.24270069582	0.130893791347	0.24398708301	0.123252900582	0.134411728402	0.102157009841	0.176783104794	0.141554883144	0.0904389867165	0.0742909131571	0.123890736534	0.0	0.234507867079	0.131393621726	0.152350376848	0.123324626384	0.104844424252	0.0693801401577	0.0656924917139	0.385685501653	0.202898148953	0.133500053896	0.236516090393	0.121968124632	0.117653224535	0.096637948507	0.128324917087	0.14135625286
PERIMIC1	0.245824838107	0.924481397711	0.0813041470577	0.168379656741	0.461762082767	0.121822696693	0.126870963272	0.21075981867	0.144283832043	0.32261031082	0.199628712751	0.270654322583	0.131910792495	0.234507867079	0.0	0.120832998668	0.150342683727	0.119807056868	0.244826380263	0.204071786354	0.209901233744	0.598476506903	0.396356659548	0.11583877527	0.454656036764	0.339959301242	0.205206728963	0.152232681262	0.120762218832	0.11277297984
NEOLBUS1	0.178921074163	0.825641113108	0.121557584452	0.0587809479298	0.366591550438	0.0241283646393	0.0157143517601	0.147602310616	0.0782733525395	0.263843121527	0.137956072546	0.197442740522	0.0504728659409	0.131393621726	0.120832998668	0.0	0.0460282207169	0.0236870624974	0.172442080372	0.10516916795	0.106036515605	0.507850648869	0.325244740923	0.00837269474661	0.356197274128	0.245859885146	0.0985150362381	0.0433267927756	0.00743162989262	0.0163684548655
REGACAL1	0.200902985012	0.84404505006	0.157464639411	0.0819774433357	0.382970174177	0.0537084085275	0.0476998243281	0.167628155779	0.100853388887	0.283128780367	0.159364331236	0.216098196838	0.0746282262309	0.152350376848	0.150342683727	0.0460282207169	0.0	0.0512595129674	0.190263552401	0.124881036574	0.12526968079	0.525247812665	0.341796091682	0.0477180095299	0.376681372564	0.261149198069	0.125594676005	0.0732263192247	0.0477902913695	0.0576702297725
TRIGOTO1	0.161499314363	0.825553997349	0.133687704311	0.0564639377014	0.355458291948	0.0100483025661	0.0230265775641	0.129944760395	0.072706991099	0.245477134223	0.120216414564	0.179753324074	0.0350940416802	0.123324626384	0.119807056868	0.0236870624974	0.0512595129674	0.0	0.155502851007	0.0899678568422	0.0945547075833	0.492029345353	0.310021117909	0.0223329475202	0.350145768519	0.233187457634	0.0907855217187	0.0358029112992	0.0182239412457	0.0356402677652
TRIGOTO2	0.068708801537	0.81328826926	0.277867968214	0.158912051025	0.227671476192	0.152120691723	0.175356925525	0.0740384591915	0.18174347778	0.167201829852	0.0686539515276	0.0957714333698	0.126874052034	0.104844424252	0.244826380263	0.172442080372	0.190263552401	0.155502851007	0.0	0.0761899513498	0.0828183304139	0.36094706331	0.237537143285	0.174653069413	0.278576851469	0.187152687846	0.077284981312	0.135644497482	0.172572770108	0.182938441875
TRIGOTO3	0.0837680923687	0.803522086072	0.218164251935	0.102293234597	0.274433917743	0.0909746722093	0.107448740038	0.0505349071239	0.140730120514	0.176281505282	0.0504342335096	0.104193236881	0.0773221273025	0.0693801401577	0.204071786354	0.10516916795	0.124881036574	0.0899678568422	0.0761899513498	0.0	0.0279036566111	0.408828248003	0.239958887914	0.108414412424	0.275894338507	0.170235354992	0.0688310637971	0.0692046850304	0.104554069257	0.118769866107
TRIGOTO4	0.0992392391595	0.804793325915	0.21789928645	0.0966732980656	0.272849498675	0.0950336119904	0.107994844789	0.0655899146669	0.152425122993	0.180704708821	0.063953339538	0.109308998826	0.0878314000229	0.0656924917139	0.209901233744	0.106036515605	0.12526968079	0.0945547075833	0.0828183304139	0.0279036566111	0.0	0.413685428812	0.239726129438	0.108487928092	0.280411060982	0.16454907481	0.079594230076	0.0687761561331	0.105261761565	0.119189658091
TRIGOTO5	0.376431355757	0.8170558955	0.61683109355	0.498415359167	0.320647716907	0.49112877856	0.509983742321	0.408098774218	0.520467577477	0.37472667115	0.420288823808	0.355955676842	0.476356236415	0.385685501653	0.598476506903	0.507850648869	0.525247812665	0.492029345353	0.36094706331	0.408828248003	0.413685428812	0.0	0.427539629363	0.510051228833	0.383068123557	0.376837142606	0.412713124714	0.470347842615	0.50732241307	0.518695960585
