	TRIGOTO3.2	HAPMIC4.2	NEOLBUS.2	CHALBRI.2	CYPRCOL1.2	CYPRCOL2.2	HAPMIC1.2	HAPMIC2.2	HAPMIC3.2	HAPMIC5.2	HAPMIC6.2	LOBOLAB.2	KITCNT2	TANGIRA.2	TRIGOTO1.2	TRIGOTO2.2	TREMBEN.2
TRIGOTO3.2	0.0	0.113341967758	0.23832212427	0.11962717713	0.107104243155	0.094880775664	0.123738600652	0.104899297147	0.123634732626	0.126491065538	0.142233886765	0.0534477888347	0.449407735587	0.104264827623	0.0864338773007	0.0453553764043	0.0753658163244
HAPMIC4.2	0.113341967758	0.0	0.234198602993	0.157931864476	0.145786415059	0.170917489733	0.172044111123	0.160794965079	0.177483088604	0.175800641556	0.214957059855	0.126015357446	0.425181230498	0.173304104477	0.12961697153	0.112706948923	0.152008479519
NEOLBUS.2	0.23832212427	0.234198602993	0.0	0.208188215521	0.219908520603	0.297450823103	0.283511231726	0.280338211535	0.309436337159	0.299679754101	0.36636703769	0.256482115327	0.551315552982	0.278635398973	0.208384707427	0.242960629458	0.278409790099
CHALBRI.2	0.11962717713	0.157931864476	0.208188215521	0.0	0.058012464992	0.167705340788	0.209124669406	0.149876590015	0.187695468381	0.174753382297	0.246743165198	0.119816712659	0.469436996798	0.169983532734	0.0460151012152	0.132912330064	0.14984404357
CYPRCOL1.2	0.107104243155	0.145786415059	0.219908520603	0.058012464992	0.0	0.131925550513	0.183000276004	0.106524084131	0.146746325694	0.138984140832	0.219977943252	0.0902826938916	0.453380166279	0.135909310473	0.0368225835888	0.116354652317	0.112930372983
CYPRCOL2.2	0.094880775664	0.170917489733	0.297450823103	0.167705340788	0.131925550513	0.0	0.167502116345	0.0729423725258	0.068622867365	0.0828550541335	0.107405460127	0.0493261525651	0.404954393806	0.0559852418209	0.1274594656	0.126983813959	0.0251622459098
HAPMIC1.2	0.123738600652	0.172044111123	0.283511231726	0.209124669406	0.183000276004	0.167502116345	0.0	0.149565910371	0.124403589581	0.135191108113	0.160844783533	0.155137791715	0.487321016871	0.141892700594	0.190009150285	0.103257491238	0.168458223188
HAPMIC2.2	0.104899297147	0.160794965079	0.280338211535	0.149876590015	0.106524084131	0.0729423725258	0.149565910371	0.0	0.0685295584122	0.042606584199	0.160974476183	0.0616217326877	0.414871133443	0.064787529263	0.130591908014	0.108244204619	0.0549036794935
HAPMIC3.2	0.123634732626	0.177483088604	0.309436337159	0.187695468381	0.146746325694	0.068622867365	0.124403589581	0.0685295584122	0.0	0.0488445841068	0.13119815237	0.086429272634	0.433023319259	0.0543824648728	0.160429496819	0.124719783388	0.0803568786139
HAPMIC5.2	0.126491065538	0.175800641556	0.299679754101	0.174753382297	0.138984140832	0.0828550541335	0.135191108113	0.042606584199	0.0488445841068	0.0	0.163036999756	0.0907973653699	0.41263946556	0.0651469660564	0.153680086957	0.125233222056	0.0878771278818
HAPMIC6.2	0.142233886765	0.214957059855	0.36636703769	0.246743165198	0.219977943252	0.107405460127	0.160844783533	0.160974476183	0.13119815237	0.163036999756	0.0	0.141265113187	0.488360937035	0.130505380895	0.212434723205	0.158673781894	0.125691132299
LOBOLAB.2	0.0534477888347	0.126015357446	0.256482115327	0.119816712659	0.0902826938916	0.0493261525651	0.155137791715	0.0616217326877	0.086429272634	0.0907973653699	0.141265113187	0.0	0.424402701597	0.0687032749809	0.0831225812357	0.079023509857	0.0332666054928
KITCNT2	0.449407735587	0.425181230498	0.551315552982	0.469436996798	0.453380166279	0.404954393806	0.487321016871	0.414871133443	0.433023319259	0.41263946556	0.488360937035	0.424402701597	0.0	0.434575057512	0.454659371684	0.45850533208	0.411850109073
TANGIRA.2	0.104264827623	0.173304104477	0.278635398973	0.169983532734	0.135909310473	0.0559852418209	0.141892700594	0.064787529263	0.0543824648728	0.0651469660564	0.130505380895	0.0687032749809	0.434575057512	0.0	0.141215953089	0.109516700257	0.0629492316666
TRIGOTO1.2	0.0864338773007	0.12961697153	0.208384707427	0.0460151012152	0.0368225835888	0.1274594656	0.190009150285	0.130591908014	0.160429496819	0.153680086957	0.212434723205	0.0831225812357	0.454659371684	0.141215953089	0.0	0.109718523138	0.109894055523
TRIGOTO2.2	0.0453553764043	0.112706948923	0.242960629458	0.132912330064	0.116354652317	0.126983813959	0.103257491238	0.108244204619	0.124719783388	0.125233222056	0.158673781894	0.079023509857	0.45850533208	0.109516700257	0.109718523138	0.0	0.109474513045
TREMBEN.2	0.0753658163244	0.152008479519	0.278409790099	0.14984404357	0.112930372983	0.0251622459098	0.168458223188	0.0549036794935	0.0803568786139	0.0878771278818	0.125691132299	0.0332666054928	0.411850109073	0.0629492316666	0.109894055523	0.109474513045	0.0
